stop_id,name,mode,lat,lon,betweenness
bus_QuhVipGo,PAZHANTHANDALAM,bus,12.96009,80.09002,0.015372704592119929
bus_677,MADHAVARAM,bus,12.549663,80.143925,0.01536065373204833
suburban_KTPM_P_2,KOTTURPURAM,suburban,13.014867,80.248379,0.015273884118403915
bus_UfaDzlyU,VENGAL BAZAR,bus,13.25192,80.01448,0.015075319324421988
bus_e44b2c412f079a1736c6be4ce76a9746,MADHA ENGINEERING COLLEGE,bus,12.99593,80.0872,0.015028689226493619
suburban_KTBR_P_2,KASTURBA NAGAR,suburban,13.006361,80.247697,0.014838484704753954
suburban_AVD_P_1,AVADI,suburban,13.118147,80.101785,0.014751064763206635
bus_WOOyqinT,CHELLAMMAL COLLEGE,bus,13.01227,80.22078,0.014711620412470752
metro_203_1,Nehru Park,metro,13.07892912,80.25087459,0.014660165488286876
bus_KjgVoxgR,WHEELS INDIA ROAD JUNCTION,bus,13.10144,80.19439,0.014578170067124977
bus_xjlhzjUh,MADAMBAKKAM TEMPLE,bus,12.89864,80.16165,0.014516216879688671
bus_NGAodVTg,RETTERI AMBEDKAR NAGAR,bus,13.12636,80.20706,0.014505583171468713
bus_LhgNVAOU,DUNLOP,bus,13.10618,80.1524,0.014378407858737487
bus_HdBHspFM,SHOLAVARAM,bus,13.23954,80.16093,0.014361392072051523
bus_bOiSLYGO,BUTT ROAD,bus,13.00733,80.19714,0.014325916260544951
bus_zBPHjWVd,SAMIYAR PANNAI,bus,12.79006,80.22086,0.014319489970500119
bus_nIakFMcq,AMBATTUR INDUSTRIAL ESTATE B.T,bus,13.09947,80.17017,0.014318473992289214
bus_YGbVmztp,MANNIVAKKAM SCHOOL,bus,12.89135,80.06945,0.014282232253599973
bus_NQaaFyOm,PALLAVAN SALAI,bus,13.07548,80.2763,0.014253306973044994
bus_hApOmpAO,MEDAVAKKAM VIJAYA NAGARAM,bus,12.91902,80.17891,0.014224078914342873
