route_id,original_route_id,mode,route_short_name,route_long_name,route_type
bus_1353,1353,bus,45B,MUGALIVAKKAM MM TEMPLE To ANNA SQUARE,3
bus_1355,1355,bus,45B,BROADWAY To CEMENT ROAD,3
bus_1356,1356,bus,45B,CEMENT ROAD To BROADWAY,3
bus_1357,1357,bus,45B,GUINDY TVK ESTATE To ANNA SQUARE,3
bus_1358,1358,bus,45B,GUINDY TVK ESTATE To MUGALIVAKKAM MM TEMPLE,3
bus_1359,1359,bus,45B,VIVEKANANDA HOUSE To GUINDY TVK ESTATE,3
bus_1360,1360,bus,45B,VIVEKANANDA HOUSE To MUGALIVAKKAM MM TEMPLE,3
bus_1361,1361,bus,45B,MUGALIVAKKAM MM TEMPLE To VIVEKANANDA HOUSE,3
bus_1362,1362,bus,45B,ANNA SQUARE To CEMENT ROAD,3
bus_1369,1369,bus,45BET,ANNA SQUARE B.T To MUGALIVAKKAM MM TEMPLE,3
bus_1378,1378,bus,18CT,TAMBARAM WEST To CEMENT ROAD,3
bus_1386,1386,bus,70C,M.G.R.KOYAMBEDU To KCBT - KILAMBAKKAM,3
bus_1388,1388,bus,70C,KILAMBAKKAM BUS TERMINUS To M.G.R.KOYAMBEDU B.T,3
bus_1389,1389,bus,70C,M.G.R.KOYAMBEDU To TAMBARAM WEST,3
bus_1391,1391,bus,70C,TAMBARAM WEST To M.G.R.KOYAMBEDU,3
bus_1394,1394,bus,70C,M.G.R.KOYAMBEDU To CEMENT ROAD,3
bus_1408,1408,bus,A45B,ANNA SQUARE B.T To NANDAMBAKKAM TRADE CENTRE,3
bus_1410,1410,bus,A45B,TRADE CENTRE NANDAMBAKKAM To ANNA SQUARE B.T,3
bus_1411,1411,bus,A45B,VIVEKANANDA HOUSE To GUINDY TVK ESTATE,3
bus_1412,1412,bus,A45B,VIVEKANANDA HOUSE To CEMENT ROAD,3
bus_1436,1436,bus,E18,CEMENT ROAD To GUDUVANCHERY,3
bus_1437,1437,bus,E18,GUDUVANCHERY To CEMENT ROAD,3
bus_1438,1438,bus,G18,GUDUVANCHERY To CEMENT ROAD,3
bus_1440,1440,bus,G18,CEMENT ROAD To KCBT - KILAMBAKKAM,3
bus_1444,1444,bus,G18,CEMENT ROAD To THYAGARAYA NAGAR,3
bus_1447,1447,bus,G18,THYAGARAYA NAGAR To KCBT - KILAMBAKKAM,3
bus_1450,1450,bus,G18,KCBT - KILAMBAKKAM To THYAGARAYA NAGAR,3
bus_1455,1455,bus,M18N,NANGANALLUR To KCBT - KILAMBAKKAM,3
bus_1457,1457,bus,M18N,KCBT - KILAMBAKKAM To NANGANALLUR,3
bus_1462,1462,bus,M1CT,KEELKATTALAI To CEMENT ROAD,3
bus_1467,1467,bus,M1CT,THIRUVANMIYUR DEPOT To NANGANALLUR BUS TERMINUS,3
bus_1468,1468,bus,M1A,THIRUVANMIYUR B.T To NANGANALLUR BUS TERMINUS,3
bus_1470,1470,bus,M1A,NANGANALLUR To THIRUVANMIYUR,3
bus_1484,1484,bus,M51RCT,BROADWAY To PUZHUTHIVAKKAM,3
bus_1486,1486,bus,M51R,PUZHUTHIVAKKAM B.T To BROADWAY,3
bus_1488,1488,bus,M51RCT,CEMENT ROAD To KEELKATTALAI,3
bus_1490,1490,bus,M51R,THYAGARAYA NAGAR To ALANDUR DEPOT,3
bus_1491,1491,bus,M51RCT,THYAGARAYA NAGAR To KEELKATTALAI,3
bus_1492,1492,bus,M51RCT,KEELKATTALAI To THYAGARAYA NAGAR,3
bus_1494,1494,bus,M51RCT,PUZHUTHIVAKKAM To THYAGARAYA NAGAR,3
bus_1499,1499,bus,M51R,BROADWAY To MADIPAKKAM B.T,3
bus_1505,1505,bus,M51RCT,KEELKATTALAI To ALANDUR DEPOT,3
bus_1509,1509,bus,N45B,MOOVARASANPET To CEMENT ROAD,3
bus_1543,1543,bus,18A,BROADWAY To TAMBARAM WEST BUS STAND,3
bus_1544,1544,bus,18ACT,GUINDY B.T To KILAMBAKKAM BUS TERMINUS,3
bus_1546,1546,bus,18E,ALANDUR To RAMAPURAM,3
bus_1550,1550,bus,18N,BROADWAY To CEMENT ROAD,3
bus_1552,1552,bus,18P,BROADWAY To CEMENT ROAD,3
bus_1554,1554,bus,18P,CEMENT ROAD To MADIPAKKAM B.T,3
bus_1555,1555,bus,21G,BROADWAY To CEMENT ROAD,3
bus_1556,1556,bus,21G,CEMENT ROAD To KCBT - KILAMBAKKAM,3
bus_1558,1558,bus,45B,BROADWAY To GUINDY B.T,3
bus_1561,1561,bus,45BCT,ANNA SQUARE To GUINDY TVK ESTATE,3
bus_1563,1563,bus,45BCT,ANNA SQUARE To CEMENT ROAD,3
bus_1565,1565,bus,51,BROADWAY To VELACHERY B.T,3
bus_1568,1568,bus,70C,CEMENT ROAD To TAMBARAM WEST,3
bus_1569,1569,bus,70C,M.G.R.KOYAMBEDU B.T To KILAMBAKKAM BUS TERMINUS,3
bus_1571,1571,bus,70N,CEMENT ROAD To NANGANALLUR,3
bus_1572,1572,bus,70N,M.G.R.KOYAMBEDU B.T To NANGANALLUR BUS TERMINUS,3
bus_1576,1576,bus,A45B,ANNA SQUARE To CEMENT ROAD,3
bus_1577,1577,bus,A45B,ANNA SQUARE To GUINDY TVK ESTATE,3
bus_1578,1578,bus,A45B,GUINDY TVK ESTATE To VIVEKANANDA HOUSE,3
bus_1579,1579,bus,D70C,AMBATTUR I.E To GUINDY TVK ESTATE,3
bus_1580,1580,bus,76CT,GUINDY TVK ESTATE To VELACHERY B.T,3
bus_1583,1583,bus,D70X,AMBATTUR INDUSTRIAL ESTATE B.T To VELACHERY RAILWAY STATION,3
bus_1584,1584,bus,D70X,CEMENT ROAD To VELACHERY MRTS,3
bus_1586,1586,bus,E18,BROADWAY To CEMENT ROAD,3
